# COG	func	name
COG1137	M	ABC-type lipopolysaccharide export system, ATPase component
COG1138	CO	Cytochrome c biogenesis factor
COG1139	C	L-lactate utilization protein LutB, contains a ferredoxin-type domain
COG1140	CP	Nitrate reductase beta subunit
COG1141	C	Ferredoxin
COG1142	C	Fe-S-cluster-containing hydrogenase component 2
COG1143	C	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
COG1144	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit
COG1145	C	Ferredoxin
COG1146	F	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit
COG1148	C	Heterodisulfide reductase, subunit A (polyferredoxin)
COG1149	R	MinD superfamily P-loop ATPase, contains an inserted ferredoxin domain
COG1150	C	Heterodisulfide reductase, subunit C
COG1151	PC	Hydroxylamine reductase (hybrid-cluster protein)
COG1152	C	CO dehydrogenase/acetyl-CoA synthase alpha subunit
COG1153	C	Formylmethanofuran dehydrogenase subunit D
COG1154	HI	Deoxyxylulose-5-phosphate synthase
COG1155	C	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1
COG1156	C	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2
